Dataset,K,Algorithm,AvgFitness,AvgDistance,AvgInfeasibility,AvgEvaluations,AvgTime
data/bupa_set,15,RandomSearch,0.335818,0.248629,495.76,100000,17.8675
data/bupa_set,15,GreedySearch,0.244891,0.242105,15.84,1,0.0242223
data/bupa_set,15,LocalSearch,0.178976,0.149135,169.68,79633.2,13.5041
data/bupa_set,30,RandomSearch,0.281282,0.232944,560.76,100000,23.4576
data/bupa_set,30,GreedySearch,0.230083,0.229778,3.54,1,0.033326
data/bupa_set,30,LocalSearch,0.128563,0.0985234,348.48,99360.4,21.4668
data/glass_set,15,RandomSearch,0.517147,0.401423,174.8,100000,4.95903
data/glass_set,15,GreedySearch,0.339581,0.339581,0,1,0.00747079
data/glass_set,15,LocalSearch,0.222175,0.190304,48.14,36181.3,1.60989
data/glass_set,30,RandomSearch,0.420787,0.350435,219.56,100000,8.26712
data/glass_set,30,GreedySearch,66666.9,66666.9,0,1,0.0132886
data/glass_set,30,LocalSearch,0.158799,0.125065,105.28,72743.4,5.49259
data/zoo_set,15,RandomSearch,1.46792,1.2606,37.38,100000,1.01421
data/zoo_set,15,GreedySearch,34667.5,34667.5,0,1,0.00131824
data/zoo_set,15,LocalSearch,0.525446,0.494276,5.62,12452.6,0.0966903
data/zoo_set,30,RandomSearch,1.03291,0.907092,48.82,100000,1.35539
data/zoo_set,30,GreedySearch,148667,148667,0,1,0.00217211
data/zoo_set,30,LocalSearch,0.294387,0.249854,17.28,21464.5,0.194814
