Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/bupa_set,15,RandomSearch,1000,0.335485,0.247903,498,100000,17.4359
data/bupa_set,15,RandomSearch,1001,0.334139,0.247787,491,100000,17.7426
data/bupa_set,15,RandomSearch,1002,0.335666,0.252479,473,100000,17.3802
data/bupa_set,15,RandomSearch,1003,0.332851,0.247203,487,100000,17.6935
data/bupa_set,15,RandomSearch,1004,0.336067,0.249188,494,100000,17.5407
data/bupa_set,15,RandomSearch,1005,0.335415,0.248535,494,100000,17.3538
data/bupa_set,15,RandomSearch,1006,0.335001,0.246187,505,100000,17.6211
data/bupa_set,15,RandomSearch,1007,0.335288,0.250343,483,100000,17.3697
data/bupa_set,15,RandomSearch,1008,0.335166,0.246352,505,100000,17.6131
data/bupa_set,15,RandomSearch,1009,0.335584,0.24677,505,100000,17.365
data/bupa_set,15,GreedySearch,1000,0.244534,0.240137,25,1,0.021178
data/bupa_set,15,GreedySearch,1001,0.236779,0.23291,22,1,0.0209412
data/bupa_set,15,GreedySearch,1002,0.231122,0.226725,25,1,0.0179183
data/bupa_set,15,GreedySearch,1003,0.234691,0.232053,15,1,0.0240128
data/bupa_set,15,GreedySearch,1004,0.235061,0.230488,26,1,0.0210001
data/bupa_set,15,GreedySearch,1005,0.233855,0.230689,18,1,0.0210355
data/bupa_set,15,GreedySearch,1006,0.237352,0.234011,19,1,0.0270213
data/bupa_set,15,GreedySearch,1007,0.242229,0.236074,35,1,0.0209134
data/bupa_set,15,GreedySearch,1008,0.236724,0.233206,20,1,0.0270119
data/bupa_set,15,GreedySearch,1009,0.23368,0.229811,22,1,0.0178226
data/bupa_set,15,LocalSearch,1000,0.181249,0.152582,163,64330,10.4942
data/bupa_set,15,LocalSearch,1001,0.183927,0.155964,159,80663,13.1695
data/bupa_set,15,LocalSearch,1002,0.182756,0.152155,174,93234,15.3081
data/bupa_set,15,LocalSearch,1003,0.178614,0.150299,161,78379,13.0333
data/bupa_set,15,LocalSearch,1004,0.174873,0.143041,181,100000,16.3825
data/bupa_set,15,LocalSearch,1005,0.179207,0.150716,162,94936,15.8535
data/bupa_set,15,LocalSearch,1006,0.175592,0.143056,185,66526,11.0101
data/bupa_set,15,LocalSearch,1007,0.178735,0.152003,152,83506,13.6478
data/bupa_set,15,LocalSearch,1008,0.179805,0.149028,175,100000,16.4161
data/bupa_set,15,LocalSearch,1009,0.176396,0.146498,170,92852,15.1117
data/bupa_set,15,AM-Best,1000,0.18856,0.162003,151,100000,16.3312
data/bupa_set,15,AM-Best,1001,0.183968,0.156181,158,100000,16.3994
data/bupa_set,15,AM-Best,1002,0.183798,0.156714,154,100000,16.3378
